id,label,year,list,link,countries,primary_concepts,secondary_concepts
element_12,Nôgaku theatre,2008,RL,https://ich.unesco.org/en/RL/nogaku-theatre-00012,Japan,Masks; Performing arts; Theatre; Vocal music,Costumes; Dance; Drama education; Emotions; Folk literature; Humour (literary); Instrumental music; Legendary creatures; Legends; Oral traditions and expressions; Orchestras; Percussion instruments; Representative literary works; Traditional craftsmanship; Urban areas
element_13,Cross-crafting and its symbolism,2008,RL,https://ich.unesco.org/en/RL/cross-crafting-and-its-symbolism-00013,Lithuania,Religious art; Wood carving,Agricultural ritual; Agro-ecosystems; Catholicism; Flowers; Geometry; Handicrafts education; Harvesting; Knowledge and practices concerning nature and the universe; Mass media; Nonformal education; Offering; Pattern; Rapid sociocultural change; Ritual items; Rural-urban migration; Saints; Textile arts; Traditional craftsmanship; Wood; Woodworking
element_14,Cultural space of Jemaa el-Fna Square,2008,RL,https://ich.unesco.org/en/RL/cultural-space-of-jemaa-el-fna-square-00014,Morocco,Cultural space; Urban spaces,"Bard; Dance; Entertainment; Food preparation; Instrumental music; Magic; Markets; Oral tradition; Oral traditions and expressions; Performing arts; Performing arts; Rapid sociocultural change; Social practices, rituals and festive events; Story telling; Tattoo; Touristification; Traditional craftsmanship; Traditional medicine; Urban areas; Urban development"
element_15,Hudhud chants of the Ifugao,2008,RL,https://ich.unesco.org/en/RL/hudhud-chants-of-the-ifugao-00015,Philippines,Epic poetry; Mountains; Oral tradition; Oral traditions and expressions; Vocal music,"Aged practitioners; Agriculture; Agro-ecosystems; Catholicism; Choir singing; Customary law; Funeral; Harvesting; Instrumental music; Intolerance; Knowledge and practices concerning nature and the universe; Legends; Marine, coastal and island areas; Matriarchy; Religious belief; Rice; Story telling; Surge of new technologies; Work songs"
element_16,Royal ancestral ritual in the Jongmyo shrine and its music,2008,RL,https://ich.unesco.org/en/RL/royal-ancestral-ritual-in-the-jongmyo-shrine-and-its-music-00016,Republic of Korea,"Confucianism; Dance; Rituals; Social practices, rituals and festive events",Aristocracy; Choreography; Christianity; Idiophones; Instrumental music; Offering; Percussion instruments; Rapid sociocultural change; Representative literary works; String instruments; Urban areas; Veneration of the dead; Wind instruments
element_17,Cultural space and oral culture of the Semeiskie,2008,RL,https://ich.unesco.org/en/RL/cultural-space-and-oral-culture-of-the-semeiskie-00017,Russian Federation,"Cultural space; Grasslands, savannahs; Orthodox Churches; Social practices, rituals and festive events",Architecture; Costumes; Dance; Exiles; Family; Food customs; Handicrafts; Inland wetlands; Instrumental music; Lakes; Mountains; Oral traditions and expressions; Polyphonic singing; Rapid economic transformation; Religious practice; Surge of new technologies; Traditional craftsmanship; Vocal music
element_18,Mystery play of Elche,2008,RL,https://ich.unesco.org/en/RL/mystery-play-of-elche-00018,Spain,Drama; Religious practice; Vocal music,"Catholicism; Churches; Festivals; Funeral; Machines; Performing arts; Polyphonic singing; Procession; Rituals; Sky; Social practices, rituals and festive events; Stage equipment; Textile arts; Theatre; Urban areas"
element_19,Cultural space of Boysun District,2008,RL,https://ich.unesco.org/en/RL/cultural-space-of-boysun-district-00019,Uzbekistan,Cultural space; Mountains,"Agricultural ritual; Agro-ecosystems; Costumes; Dance; Epic poetry; Festivals; Fire; Funeral; Horse; Instrumental music; Intolerance; Knowledge and practices concerning nature and the universe; Legends; Life cycle; Oral traditions and expressions; Religious syncretism; Shamanism; Social practices, rituals and festive events; String instruments; Traditional craftsmanship; Vocal music; Wedding; Wind instruments"
element_1,"Language, dance and music of the Garifuna",2008,RL,https://ich.unesco.org/en/RL/language-dance-and-music-of-the-garifuna-00001,"Belize, Guatemala, Honduras, Nicaragua","Dance; Instrumental music; Local languages; Marine, coastal and island areas; Oral tradition",Agriculture; Agro-ecosystems; Architecture; Cassava; Colonial history; Festivals; Intolerance; Oral history; Oral traditions and expressions; Percussion instruments; Performing arts; Satire; Sea fishing; Shipbuilding; Slavery; Story telling
element_39,Azerbaijani Mugham,2008,RL,https://ich.unesco.org/en/RL/azerbaijani-mugham-00039,Azerbaijan,Instrumental music; Urban areas; Vocal music,Bowed string instruments; Contests; Improvisation; Mountains; Music education; Oral tradition; Percussion instruments; Performing arts; Plucked string instruments; Rapid sociocultural change; Religious practice; Sufism; Wedding
element_33,Carnival of Binche,2008,RL,https://ich.unesco.org/en/RL/carnival-of-binche-00033,Belgium,"Carnival; Masks; Procession; Social practices, rituals and festive events",Costumes; Dance; Fanfare; Feathers; Festivals; Handicrafts; Idiophones; Percussion instruments; Performing arts; Performing arts; Traditional craftsmanship; Transvestism; Urban areas; Urban spaces; Wax
element_37,"Arts of the Meddah, public storytellers",2008,RL,https://ich.unesco.org/en/RL/arts-of-the-meddah-public-storytellers-00037,Türkiye,Oral tradition; Satire; Story telling,Bard; Community education; Drama; Epic poetry; Humour (literary); Legends; Mass media; Moral values; Non-ecosystem specific; Oral traditions and expressions; Performing arts; Rapid sociocultural change; Social criticism; Theatre; Urban spaces
element_42,Kihnu cultural space,2008,RL,https://ich.unesco.org/en/RL/kihnu-cultural-space-00042,Estonia,"Cultural space; Marine, coastal and island areas; Traditional craftsmanship; Vocal music","Agriculture; Agro-ecosystems; Costumes; Dance; Embroidery; Environmental awareness; Handicrafts; Hunting; Instrumental music; Insufficient financial resources; Islands; Knowledge and practices concerning nature and the universe; Oral tradition; Oral traditions and expressions; Performing arts; Sea fishing; Social practices, rituals and festive events; Textile arts; Touristification; Weaving; Wedding; Womens participation; Wool"
element_48,Andean cosmovision of the Kallawaya,2008,RL,https://ich.unesco.org/en/RL/andean-cosmovision-of-the-kallawaya-00048,Bolivia (Plurinational State of),Ethnobotany; Knowledge and practices concerning nature and the universe; Medicinal plants; Mountains; Traditional medicine,"Animal products; Apprenticeship; Cosmology; Costumes; Drugs; Forests; Instrumental music; Misappropriation; Percussion instruments; Rapid sociocultural change; Religious belief; Religious syncretism; Rituals; Social practices, rituals and festive events; Textile arts; Weaving; Wind instruments; Womens participation"
element_49,Oral and graphic expressions of the Wajapi,2008,RL,https://ich.unesco.org/en/RL/oral-and-graphic-expressions-of-the-wajapi-00049,Brazil,Body painting; Communication skills; Cultural space; Forests; Oral tradition,Aged practitioners; Agro-ecosystems; Cosmology; Drawing; Fish; Geometry; Jaguar; Know-how transfer; Knowledge and practices concerning nature and the universe; Mythology; Natural dyes; Oral traditions and expressions; Pattern; Plants; Rapid sociocultural change; Snake; Traditional craftsmanship; Tropical forests; Wild animals
element_51,Carnival of Barranquilla,2008,RL,https://ich.unesco.org/en/RL/carnival-of-barranquilla-00051,Colombia,Carnival; Dance; Procession; Urban areas,"Colonial history; Costumes; Festivals; Float; Handicrafts; Instrumental music; Marine, coastal and island areas; Masks; Multiethnic societies; Overcommercialization; Percussion instruments; Performing arts; Performing arts; Religious practice; Satire; Social practices, rituals and festive events; Wind instruments"
element_52,La Tumba Francesa,2008,RL,https://ich.unesco.org/en/RL/la-tumba-francesa-00052,Cuba,Dance; Instrumental music; Urban areas; Vocal music,"Colonial history; Costumes; Idiophones; Improvisation; Marine, coastal and island areas; Percussion instruments; Performing arts; Slavery"
element_53,Maroon heritage of Moore Town,2008,RL,https://ich.unesco.org/en/RL/maroon-heritage-of-moore-town-00053,Jamaica,"Cultural space; Mountains; Slavery; Social practices, rituals and festive events",Agro-ecosystems; Armed forces; Colonial history; Dance; Forests; Horn; Instrumental music; Insufficient financial resources; Intolerance; Islands; Knowledge and practices concerning nature and the universe; Oral tradition; Oral traditions and expressions; Percussion instruments; Performing arts; Religious belief; Religious syncretism; Traditional medicine; Trees; Veneration of the dead; Vocal music; Wind instruments
element_54,Indigenous festivity dedicated to the dead,2008,RL,https://ich.unesco.org/en/RL/indigenous-festivity-dedicated-to-the-dead-00054,Mexico,"Religious practice; Rituals; Social practices, rituals and festive events; Veneration of the dead",Agricultural ritual; Christianity; Family; Festivals; Flowers; Food preparation; Handicrafts; Harvesting; Knowledge and practices concerning nature and the universe; Maize; Non-ecosystem specific; Offering; Religious syncretism
element_60,Royal ballet of Cambodia,2008,RL,https://ich.unesco.org/en/RL/royal-ballet-of-cambodia-00060,Cambodia,Aristocracy; Dance; Performing arts; Urban areas,"Agro-ecosystems; Choreography; Costumes; Emotions; Festivals; Funeral; Idiophones; Insufficient financial resources; Intolerance; Masks; Monkey; Oral traditions and expressions; Orchestras; Percussion instruments; Physical education; Post-conflict; Rapid sociocultural change; Reconstruction; Social practices, rituals and festive events; Touristification; Wedding; Wind instruments"
element_61,Guqin and its music,2008,RL,https://ich.unesco.org/en/RL/guqin-and-its-music-00061,China,Instrumental music; Musical instruments; Plucked string instruments,Apprenticeship; Cultural elite; Instrument making; Music education; Non-ecosystem specific; Performing arts; Traditional craftsmanship; Wood carving
element_62,Tradition of Vedic chanting,2008,RL,https://ich.unesco.org/en/RL/tradition-of-vedic-chanting-00062,India,Non-ecosystem specific; Oral tradition; Religious belief; Representative literary works; Vocal music,"Agro-ecosystems; Clergy; Fire; Hinduism; Mathematics; Offering; Oral history; Oral traditions and expressions; Philosophy; Phonetics; Poetry; Religious practice; Rituals; Social practices, rituals and festive events"
element_63,Wayang puppet theatre,2008,RL,https://ich.unesco.org/en/RL/wayang-puppet-theatre-00063,Indonesia,"Marine, coastal and island areas; Puppets; Shadow play; Theatre",Agro-ecosystems; Costumes; Craft workers; Epic poetry; Instrumental music; Islands; Know-how transfer; Leather; Memorization; Moral values; Musical instruments; Oral tradition; Performing arts; Rapid sociocultural change; Satire; Story telling; Traditional craftsmanship; Urban areas; Vocal music; Wood carving
element_64,Ningyo Johruri Bunraku puppet theatre,2008,RL,https://ich.unesco.org/en/RL/ningyo-johruri-bunraku-puppet-theatre-00064,Japan,Performing arts; Puppets; Theatre,Costumes; Craft workers; Drama; Improvisation; Instrumental music; Moral values; Oral traditions and expressions; Performers; Plucked string instruments; Social values; Story telling; Traditional craftsmanship; Urban areas; Vocal music; Wood carving
element_65,"Art of Akyns, Kyrgyz epic tellers",2008,RL,https://ich.unesco.org/en/RL/art-of-akyns-kyrgyz-epic-tellers-00065,Kyrgyzstan,"Epic poetry; Grasslands, savannahs; Oral tradition; Oral traditions and expressions; Vocal music","Agro-ecosystems; Apprenticeship; Bard; Horse; Improvisation; Legends; Mountains; Nomads; Pastoralism; Philosophy; Plucked string instruments; Rituals; Social practices, rituals and festive events; Social values; Story telling"
element_68,Traditional music of the Morin Khuur,2008,RL,https://ich.unesco.org/en/RL/traditional-music-of-the-morin-khuur-00068,Mongolia,Bowed string instruments; Instrumental music; Performing arts; Vocal music,"Animal husbandry; Apprenticeship; Dance; Grasslands, savannahs; Handicrafts; Horse; Instrument making; Nomads; Oral tradition; Pastoralism; Religious practice; Ritual items; Rituals; Rural-urban migration; Social practices, rituals and festive events; Steppe; Traditional craftsmanship; Wood carving"
element_70,Pansori epic chant,2008,RL,https://ich.unesco.org/en/RL/pansori-epic-chant-00070,Republic of Korea,Epic poetry; Performing arts; Story telling; Vocal music,Apprenticeship; Choreography; Cultural elite; Improvisation; Non-ecosystem specific; Oral tradition; Oral traditions and expressions; Percussion instruments; Performers; Representative literary works; Shamanism; Theatrification
element_72,"Lakalaka, dances and sung speeches of Tonga",2008,RL,https://ich.unesco.org/en/RL/lakalaka-dances-and-sung-speeches-of-tonga-00072,Tonga,Dance; Instrumental music; Performing arts; Polyphonic singing; Vocal music,"Body percussion; Choreography; Costumes; Festivals; Islands; Legends; Marine, coastal and island areas; Monarchy; Moral values; Oral history; Oral traditions and expressions; Poetry; Social practices, rituals and festive events"
element_73,Vanuatu sand drawings,2008,RL,https://ich.unesco.org/en/RL/vanuatu-sand-drawings-00073,Vanuatu,"Drawing; Marine, coastal and island areas; Nonverbal communication; Sand","Aesthetics; Choreography; Geometry; Improvisation; Islands; Know-how transfer; Knowledge and practices concerning nature and the universe; Memorization; Mythology; Oral tradition; Pattern; Rituals; Social practices, rituals and festive events; Symbols; Technical skills"
element_74,"Nha Nhac, Vietnamese court music",2008,RL,https://ich.unesco.org/en/RL/nha-nhac-vietnamese-court-music-00074,Viet Nam,Dance; Instrumental music; Orchestras; Performing arts,"Aristocracy; Choreography; Cosmology; Costumes; Festivals; Funeral; Idiophones; Knowledge and practices concerning nature and the universe; Percussion instruments; Post-conflict; Rapid economic transformation; Religious practice; Social practices, rituals and festive events; String instruments; Urban areas; Wind instruments"
element_75,Al-Sirah Al-Hilaliyyah epic,2008,RL,https://ich.unesco.org/en/RL/al-sirah-al-hilaliyyah-epic-00075,Egypt,Drylands; Epic poetry; Oral traditions and expressions; Vocal music,Aged practitioners; Apprenticeship; Circumcision; Improvisation; Instrumental music; Mass media; Memorization; Oral history; Oral tradition; Percussion instruments; Performing arts; Rapid sociocultural change; Story telling; String instruments; Touristification; Wedding
element_76,Iraqi Maqam,2008,RL,https://ich.unesco.org/en/RL/iraqi-maqam-00076,Iraq,Instrumental music; Orchestras; Performing arts; Vocal music,Bowed string instruments; Cultural elite; Idiophones; Improvisation; Oral traditions and expressions; Percussion instruments; Plucked string instruments; Poetry; Prose; Urban areas; Urban spaces
element_77,Song of Sana’a,2008,RL,https://ich.unesco.org/en/RL/song-of-sana-a-00077,Yemen,Instrumental music; Performing arts; Urban areas; Vocal music,Aged practitioners; Dance; Drylands; Emotions; Idiophones; Instrument making; Oral traditions and expressions; Plucked string instruments; Poetry; Rapid sociocultural change; Wedding
element_80,Woodcrafting knowledge of the Zafimaniry,2008,RL,https://ich.unesco.org/en/RL/woodcrafting-knowledge-of-the-zafimaniry-00080,Madagascar,Architecture; Forests; Wood carving; Woodworking,Carpentry; Craft workers; Decorative arts; Deforestation; Forestry; Geometry; Handicrafts; Knowledge and practices concerning nature and the universe; Mortise and tenon; Mountains; Oral tradition; Pattern; Sculpture; Symbols; Technical skills; Touristification; Traditional craftsmanship; Wood
element_82,Polyphonic singing of the Aka Pygmies of Central Africa,2008,RL,https://ich.unesco.org/en/RL/polyphonic-singing-of-the-aka-pygmies-of-central-africa-00082,Central African Republic,Polyphonic singing; Rituals; Vocal music,Body percussion; Choreography; Deforestation; Forests; Funeral; Human settlements; Hunting; Improvisation; Instrumental music; Know-how transfer; Oral tradition; Oral traditions and expressions; Percussion instruments; Performing arts; Ritual dance; Rural-urban migration; Social values; String instruments; Theatrification
element_87,Baltic song and dance celebrations,2008,RL,https://ich.unesco.org/en/RL/baltic-song-and-dance-celebrations-00087,"Estonia, Latvia, Lithuania","Choir singing; Dance; Social practices, rituals and festive events; Urban areas; Vocal music",Agro-ecosystems; Costumes; Festivals; Folk art; Handicrafts; Instrumental music; Performing arts; Performing arts; Rapid economic transformation; Rural-urban migration
element_89,Shashmaqom music,2008,RL,https://ich.unesco.org/en/RL/shashmaqom-music-00089,"Tajikistan, Uzbekistan","Grasslands, savannahs; Instrumental music; Performing arts; Vocal music",Mathematics; Mountains; Music education; Musical notation; Musicology; Oral tradition; Oral traditions and expressions; Orchestras; Percussion instruments; Poetry; Religious belief; String instruments; Sufism; Urban areas; Wind instruments
element_92,Duduk and its music,2008,RL,https://ich.unesco.org/en/RL/duduk-and-its-music-00092,Armenia,Instrumental music; Woodwind instruments,Circular breathing; Craft workers; Dance; Emotions; Festivals; Funeral; Improvisation; Instrument making; Non-ecosystem specific; Performing arts; Plants; Rapid economic transformation; Theatrification; Traditional craftsmanship; Trees; Vocal music; Wedding; Wood; Wood carving
element_95,"Bistritsa Babi, archaic polyphony, dances and rituals from the Shoplouk region",2008,RL,https://ich.unesco.org/en/RL/bistritsa-babi-archaic-polyphony-dances-and-rituals-from-the-shoplouk-region-00095,Bulgaria,Dance; Polyphonic singing; Vocal music,"Aged practitioners; Agro-ecosystems; Choreography; Costumes; Initiation rites; Performing arts; Rapid economic transformation; Social practices, rituals and festive events; Vocabularies"
element_99,Fujara and its music,2008,RL,https://ich.unesco.org/en/RL/fujara-and-its-music-00099,Slovakia,Pastoralism; Vocal music; Woodwind instruments,"Aged practitioners; Animal husbandry; Festivals; Grasslands, savannahs; Handicrafts; Instrument making; Instrumental music; Performing arts; Rapid economic transformation; Rapid sociocultural change; Sheep; Traditional craftsmanship; Wood; Wood carving"
element_100,Mevlevi Sema ceremony,2008,RL,https://ich.unesco.org/en/RL/mevlevi-sema-ceremony-00100,Türkiye,Religious practice; Ritual dance; Sufism,"Church and State; Ethics; Fraternity; Idiophones; Initiation rites; Percussion instruments; Performing arts; Poetry; Religious groups; Religious music; Social practices, rituals and festive events; Spiritual retreat; String instruments; Theatrification; Urban areas; Vocal music; Woodwind instruments"
element_90,Căluş ritual,2008,RL,https://ich.unesco.org/en/RL/clu-ritual-00090,Romania,Agro-ecosystems; Magic; Ritual dance; Rituals,"Costumes; Fertility ritual; Festivals; Forests; Horse; Initiation rites; Instrumental music; Performing arts; Procession; Ritual purification; Social practices, rituals and festive events; Stick; String instruments; Symbols; Traditional medicine; Trees; Vocal music"
element_101,Samba de Roda of the Recôncavo of Bahia,2008,RL,https://ich.unesco.org/en/RL/samba-de-roda-of-the-reconcavo-of-bahia-00101,Brazil,Dance; Instrumental music; Poetry; Urban areas,"Aged practitioners; Agro-ecosystems; Animism; Catholicism; Choreography; Festivals; Improvisation; Inland wetlands; Instrument making; Marine, coastal and island areas; Mass media; Percussion instruments; Performing arts; Rapid sociocultural change; Religious practice; Religious syncretism; Rivers; Slavery; Social practices, rituals and festive events; String instruments; Vocal music"
element_102,Cultural space of Palenque de San Basilio,2008,RL,https://ich.unesco.org/en/RL/cultural-space-of-palenque-de-san-basilio-00102,Colombia,Cultural space; Mountains; Slavery; Socio-cultural practices,"Agro-ecosystems; Colonial history; Conflicts; Dance; Family; Festivals; Forests; Funeral; Inland wetlands; Instrumental music; Intolerance; Local languages; Oral tradition; Oral traditions and expressions; Performing arts; Rapid economic transformation; Rivers; Social practices, rituals and festive events; Spiritualism; Traditional medicine; Wedding; Women students"
element_103,Oxherding and oxcart traditions in Costa Rica,2008,RL,https://ich.unesco.org/en/RL/oxherding-and-oxcart-traditions-in-costa-rica-00103,Costa Rica,Agro-ecosystems; Rural patrimony; Vehicles; Woodworking,"Animal husbandry; Cattle; Coffee; Contests; Cow; Farmers; Flowers; Handicrafts; Idiophones; Marine, coastal and island areas; Mountains; Painting; Procession; Religious practice; Social practices, rituals and festive events; Surge of new technologies; Technical skills; Traditional craftsmanship; Wood"
element_104,Cocolo dance drama tradition,2008,RL,https://ich.unesco.org/en/RL/cocolo-dance-drama-tradition-00104,Dominican Republic,Dance; Theatre; Urban areas,"Aged practitioners; Carnival; Colonial history; Costumes; Drama; Festivals; Instrumental music; Legends; Local languages; Marine, coastal and island areas; Masks; Mythology; Oral traditions and expressions; Performing arts; Procession; Religious practice; Religious syncretism; Slavery"
element_107,Baul songs,2008,RL,https://ich.unesco.org/en/RL/baul-songs-00107,Bangladesh,Agro-ecosystems; Instrumental music; Vocal music,"Bard; Buddhism; Dance; Hinduism; Inland wetlands; Insufficient financial resources; Interfaith practices; Marine, coastal and island areas; Oral tradition; Oral traditions and expressions; Percussion instruments; Performing arts; Philosophy; Plucked string instruments; Poetry; Religious education; Religious syncretism; Story telling; Sufism"
element_108,"Sbek Thom, Khmer shadow theatre",2008,RL,https://ich.unesco.org/en/RL/sbek-thom-khmer-shadow-theatre-00108,Cambodia,Performing arts; Puppets; Shadow play; Theatre,Agro-ecosystems; Bamboo; Bark; Choreography; Craft workers; Dance; Epic poetry; Fire; Handicrafts; Instrumental music; Know-how transfer; Leather; Monarchy; Natural dyes; Oral traditions and expressions; Orchestras; Post-conflict; Religious art; Rituals; Traditional craftsmanship
element_109,Uyghur Muqam of Xinjiang,2008,RL,https://ich.unesco.org/en/RL/uyghur-muqam-of-xinjiang-00109,China,Dance; Drylands; Instrumental music; Vocal music,"Aged practitioners; Bard; Bowed string instruments; Choreography; Folk art; Grasslands, savannahs; Oral traditions and expressions; Percussion instruments; Performing arts; Plucked string instruments; Poetry; Proverbs; Theatrification; Trade routes; Urban areas; Woodwind instruments"
element_110,"Ramlila, the traditional performance of the Ramayana",2008,RL,https://ich.unesco.org/en/RL/ramlila-the-traditional-performance-of-the-ramayana-00110,India,Epic poetry; Performing arts; Theatre; Urban areas,"Agro-ecosystems; Audience participation; Autumn; Costumes; Effigies; Festivals; Handicrafts; Idiophones; Masks; Oral traditions and expressions; Percussion instruments; Rapid sociocultural change; Religious art; Representative literary works; Rivers; Social practices, rituals and festive events; Story telling; Vocal music"
element_111,El Güegüense,2008,RL,https://ich.unesco.org/en/RL/el-gueguense-00111,Nicaragua,Dance; Instrumental music; Theatre,Aged practitioners; Colonial history; Costumes; Drama; Festivals; Horse; Insufficient financial resources; Masks; Oral traditions and expressions; Percussion instruments; Performing arts; Procession; Religious practice; Saints; Satire; String instruments; Urban areas
element_112,Indonesian Kris,2008,RL,https://ich.unesco.org/en/RL/indonesian-kris-00112,Indonesia,Bladed weapons; Craft workers; Metalworking,"Aesthetics; Costumes; Handicrafts education; Iron; Know-how transfer; Magic; Marine, coastal and island areas; Nickel; Pattern; Precious metals; Rapid sociocultural change; Religious belief; Ritual items; Social status; Technical skills; Traditional craftsmanship; Wood; Wood carving"
element_114,Gangneung Danoje festival,2008,RL,https://ich.unesco.org/en/RL/gangneung-danoje-festival-00114,Republic of Korea,Festivals; Ritual dance; Theatre; Urban areas,"Agro-ecosystems; Brewing; Buddhism; Confucianism; Costumes; Drama; Feathers; Handicrafts; Instrumental music; Interfaith practices; Marine, coastal and island areas; Markets; Masks; Mass media; Mountains; Poetry; Religious syncretism; Ritual items; Rituals; Shamanism; Social practices, rituals and festive events; Sports competitions; Theatrification; Traditional craftsmanship; Trees"
element_158,Vimbuza healing dance,2008,RL,https://ich.unesco.org/en/RL/vimbuza-healing-dance-00158,Malawi,Agro-ecosystems; Ritual dance; Traditional medicine; Vocal music,"Colonial history; Grasslands, savannahs; Instrumental music; Intolerance; Medicinal plants; Mental diseases; Percussion instruments; Performing arts; Religious belief; Rituals; Social practices, rituals and festive events; Trance; Veneration of the dead"
element_159,Darangen epic of the Maranao people of Lake Lanao,2008,RL,https://ich.unesco.org/en/RL/darangen-epic-of-the-maranao-people-of-lake-lanao-00159,Philippines,Epic poetry; Inland wetlands; Oral traditions and expressions; Vocal music,"Cultural elite; Customary law; Emotions; Genealogy; Improvisation; Islands; Lakes; Legends; Life cycle; Marine, coastal and island areas; Mass culture; Memorization; Mythology; Rapid sociocultural change; Satire; Social practices, rituals and festive events; Story telling; Wedding"
element_115,"Urtiin Duu, traditional folk long song",2008,RL,https://ich.unesco.org/en/RL/urtiin-duu-traditional-folk-long-song-00115,"China, Mongolia",Instrumental music; Vocal music,"Animal husbandry; Archery; Bowed string instruments; Desertification; Equestrian games; Grasslands, savannahs; Horse; Improvisation; Nomads; Oral traditions and expressions; Pastoralism; Performing arts; Rural population; Rural-urban migration; Social practices, rituals and festive events; Sports competitions; Urban development; Wedding; Wrestling"
element_120,Space of gong culture,2008,RL,https://ich.unesco.org/en/RL/space-of-gong-culture-00120,Viet Nam,Cultural space; Idiophones; Mountains; Religious music,"Aged practitioners; Agro-ecosystems; Funeral; Know-how transfer; Knowledge and practices concerning nature and the universe; Mysticism; Offering; Percussion instruments; Performing arts; Rapid economic transformation; Rapid sociocultural change; Religious practice; Rice; Ritual items; Rural population; Seasons; Social practices, rituals and festive events; Social status"
